,image_identifier,catalog_id,Sensor,Pan Resolution,MS Resolution,Date,Cloud Cover,Off Nadir Angle,Sun Elevation,Target Azimuth,Footprint WKT,Footprint Area (km2),Footprint AOI Inter Percent,x
2015-02-16 21:21:32.847,104001000832C600,104001000832C600,WORLDVIEW03_VNIR,0.369472354650497,1.47817552089691,2015-02-16 21:21:32.847,1,25.565128326416,50.8388748168945,96.0477294921875,"MULTIPOLYGON(((-157.8925457 21.3492369, -157.7326816 21.34518815, -157.7345726 21.31417723, -157.7324946 21.28269672, -157.732309 21.25142291, -157.7322342 21.22014206, -157.7321435 21.18884085, -157.7320848 21.16835189, -157.8928005 21.17229027, -157.8927629 21.19298296, -157.8927043 21.22426538, -157.8926294 21.25552747, -157.8925538 21.28676986, -157.8924774 21.31800974, -157.8925457 21.3492369)))",324.8973980543342,44.47838799368446,0
2015-02-16 21:21:33.018,a99bf113-0e5c-45ec-9443-4699341b1f2a,104001000832C600,WORLDVIEW03_VNIR,,,2015-02-16 21:21:33.018,2,25.5,50.8,,"MULTIPOLYGON(((-157.89261726 21.34902049, -157.73248119 21.34506922, -157.73205586 21.22778292, -157.89276454 21.23180437, -157.89261726 21.34902049)))",216.0146605391136,44.37377887353237,1
2015-02-16 21:21:33.018,1b106d27-923f-4434-94e5-51f8453f011e,104001000832C600,WORLDVIEW03_VNIR,,,2015-02-16 21:21:33.018,2,25.5,50.8,,"MULTIPOLYGON(((-157.89242574 21.3490207, -157.73266982 21.34507885, -157.73224294 21.22778301, -157.89257072 21.23179493, -157.89242574 21.3490207)))",215.51981760581404,44.2841412960374,2
2015-05-08 21:07:46.562,104001000B808D00,104001000B808D00,WORLDVIEW03_VNIR,0.327737659215927,1.31099367141724,2015-05-08 21:07:46.562,76,15.366847038269,70.7307281494141,288.317687988281,"MULTIPOLYGON(((-157.8822653 21.34523751, -157.7456793 21.34198044, -157.7449713 21.31269032, -157.7458519 21.28390975, -157.7461516 21.25496407, -157.7462032 21.22593898, -157.7462529 21.19691356, -157.746296 21.1708988, -157.8820678 21.17419468, -157.8821189 21.20010558, -157.8821781 21.22913275, -157.8822358 21.25815976, -157.8822968 21.2871868, -157.8823313 21.31622153, -157.8822653 21.34523751)))",267.88632934485304,36.43712477984232,3
2015-05-09 21:23:25.643,104001000AC94E00,104001000AC94E00,WORLDVIEW03_VNIR,0.383714437484741,1.53456473350525,2015-05-09 21:23:25.643,12,27.921365737915,74.4135894775391,53.2190361022949,"MULTIPOLYGON(((-157.8916772 21.34469561, -157.7316334 21.36526372, -157.7320172 21.33153944, -157.7320361 21.29803782, -157.7312161 21.26511108, -157.731163 21.2316753, -157.731105 21.19822545, -157.7310522 21.17029285, -157.8918625 21.14925476, -157.8918259 21.17743487, -157.8917827 21.21090583, -157.8917301 21.24436602, -157.8916802 21.27782818, -157.8916474 21.31129575, -157.8916772 21.34469561)))",359.3671063730046,46.38432994675302,4
2015-06-29 21:27:55.685,104001000D79C900,104001000D79C900,WORLDVIEW03_VNIR,0.363873928785324,1.45533871650696,2015-06-29 21:27:55.685,15,24.5636291503906,74.3138656616211,80.4994506835938,"MULTIPOLYGON(((-157.87956 20.98447277, -158.0328926 20.98883069, -158.0329328 21.0191661, -158.0329798 21.04947315, -158.0330111 21.07970899, -158.0330659 21.10995224, -158.033126 21.14019198, -158.0332213 21.17044993, -158.0332898 21.20072083, -158.0333877 21.23099271, -158.0334863 21.26131062, -158.0335864 21.2916448, -158.033751 21.32201474, -158.0339171 21.35243512, -158.0342335 21.3828848, -158.0348436 21.41333731, -158.0351612 21.44390387, -158.0355244 21.47451757, -158.0359257 21.5052092, -158.036279 21.53599425, -158.0363281 21.56694081, -158.03643 21.5979769, -158.0361085 21.62928743, -158.0363216 21.66054665, -158.0357874 21.69222644, -158.0360154 21.72376402, -158.0362583 21.75543826, -158.0362866 21.75915203, -157.8750452 21.77361976, -157.8750835 21.76956602, -157.8753826 21.73705138, -157.875665 21.70468938, -157.8759432 21.67246953, -157.8761988 21.64039164, -157.8764573 21.60843675, -157.8767674 21.57659585, -157.8772802 21.54480929, -157.8789283 21.51284286, -157.8785148 21.4814842, -157.8806092 21.44970403, -157.8795068 21.41863646, -157.8795707 21.38741196, -157.8787332 21.3563699, -157.8783779 21.32528938, -157.8784918 21.2942022, -157.8786463 21.26315718, -157.8787911 21.23213322, -157.8789141 21.20116024, -157.8790441 21.17019341, -157.8791376 21.13924335, -157.8792446 21.10831627, -157.8793384 21.07738761, -157.8794387 21.04646987, -157.8795052 21.01548449, -157.87956 20.98447277)))",1399.10168539859,21.16614416019609,5
2015-07-17 21:13:48.811,104001000E74D800,104001000E74D800,WORLDVIEW03_VNIR,0.317022413015366,1.26811242103577,2015-07-17 21:13:48.811,54,10.5228309631348,70.5495758056641,276.714233398438,"MULTIPOLYGON(((-157.747161 21.21939584, -157.8785116 21.21725028, -157.8784045 21.24588106, -157.8783674 21.27445118, -157.8782647 21.3029858, -157.8781609 21.33145571, -157.877829 21.35992955, -157.8774527 21.38835527, -157.8773035 21.41671485, -157.8769851 21.44505792, -157.8775693 21.47342596, -157.8775976 21.50177567, -157.8777506 21.5301751, -157.8777828 21.55858766, -157.8779433 21.58705069, -157.8779604 21.6155147, -157.8779873 21.64401475, -157.878019 21.67255083, -157.8780552 21.70114892, -157.8781039 21.72981807, -157.8781294 21.74931919, -157.7468763 21.74649356, -157.7469469 21.72725231, -157.7470236 21.69881848, -157.7470996 21.67045993, -157.7471605 21.64216375, -157.7472119 21.61390757, -157.7472568 21.58568946, -157.747294 21.55751298, -157.7473214 21.5293492, -157.7473564 21.50121781, -157.7473772 21.47311035, -157.7473702 21.44499589, -157.7473664 21.41687199, -157.7473306 21.38875499, -157.7470245 21.3606606, -157.7468081 21.33255867, -157.7468082 21.30439833, -157.7472954 21.27601383, -157.7472034 21.24773275, -157.747161 21.21939584)))",793.9259545874761,77.89810117184061,6
2015-07-17 21:14:05.511,104001000E246900,104001000E246900,WORLDVIEW03_VNIR,0.324797600507736,1.29913461208344,2015-07-17 21:14:05.511,56,14.1456184387207,70.5066070556641,322.760498046875,"MULTIPOLYGON(((-157.9938419 21.75231757, -157.8607337 21.74750009, -157.8607704 21.71804704, -157.8608238 21.68856676, -157.8608533 21.65914404, -157.8608906 21.62970169, -157.8609148 21.60025136, -157.860947 21.57084006, -157.8606835 21.54102628, -157.860855 21.51178656, -157.8609846 21.48247861, -157.8608376 21.45281134, -157.860383 21.42274545, -157.8606107 21.39359168, -157.8607594 21.36432962, -157.8611138 21.33534956, -157.8612612 21.30608795, -157.8613119 21.27671272, -157.8613382 21.24730472, -157.8613735 21.2179054, -157.8613768 21.2152523, -157.9931815 21.21960455, -157.9931843 21.22221908, -157.9932171 21.25164654, -157.9932594 21.2810833, -157.9932941 21.31051, -157.9933062 21.33992691, -157.9933386 21.36936822, -157.9933226 21.39874672, -157.9931919 21.42798876, -157.9931171 21.45729509, -157.9929924 21.48656444, -157.9928786 21.51585486, -157.9928653 21.54524657, -157.9929492 21.57475777, -157.9929899 21.60420238, -157.9929308 21.63356532, -157.9933127 21.66341841, -157.993724 21.69326718, -157.993804 21.72283589, -157.9938419 21.75231757)))",808.0006722804072,39.06553555083921,7
2015-07-30 21:20:37.398,104001000F584300,104001000F584300,WORLDVIEW03_VNIR,0.325483798980713,1.30196392536163,2015-07-30 21:20:37.398,32,14.2796974182129,71.5874710083008,24.6359157562256,"MULTIPOLYGON(((-157.9754523 21.74701272, -157.843709 21.75025141, -157.8437095 21.72056562, -157.8436874 21.69087382, -157.8436642 21.66120991, -157.843661 21.63154696, -157.8436651 21.60189795, -157.843649 21.57220751, -157.8436544 21.54249314, -157.8436624 21.51276895, -157.8436326 21.48310514, -157.8436264 21.45337738, -157.8443804 21.42227923, -157.8440707 21.39309334, -157.8438672 21.36369736, -157.8437109 21.33423245, -157.8435719 21.30472857, -157.8435233 21.2750359, -157.8435106 21.24529488, -157.8435028 21.21863479, -157.9755305 21.21452152, -157.9755207 21.2413054, -157.9755139 21.27109114, -157.9755087 21.30089006, -157.9755061 21.33065493, -157.9754967 21.36042984, -157.9755016 21.39019927, -157.975611 21.41972694, -157.975716 21.44922648, -157.975795 21.47879393, -157.9758763 21.50833341, -157.9759233 21.53793554, -157.9759105 21.56767054, -157.9759275 21.59735561, -157.9758723 21.62712695, -157.9756136 21.65742646, -157.9754925 21.68745257, -157.975464 21.71728106, -157.9754523 21.74701272)))",805.0989060250016,56.189605541441814,8
2015-08-30 21:14:31.017,1040010010790700,1040010010790700,WORLDVIEW03_VNIR,0.344943583011627,1.3810738325119,2015-08-30 21:14:31.017,28,20.1383380889893,67.5729904174805,227.093215942383,"MULTIPOLYGON(((-157.7683369 21.18867655, -157.9147522 21.17290941, -157.9144093 21.20630815, -157.9141225 21.23947368, -157.9138193 21.27237399, -157.9135154 21.30500837, -157.9131818 21.33739209, -157.912843 21.3696148, -157.9121431 21.40195069, -157.9115143 21.43399662, -157.9110196 21.4657015, -157.9102759 21.49738625, -157.9105808 21.52796568, -157.9103285 21.55887251, -157.9107696 21.58904394, -157.9110798 21.61921995, -157.9108992 21.64961873, -157.9107139 21.67988316, -157.9105312 21.70999101, -157.9103713 21.73998556, -157.9102815 21.75746911, -157.7724194 21.76339005, -157.7723313 21.74632781, -157.7721675 21.71678048, -157.7720149 21.68712304, -157.7718447 21.6573206, -157.7716672 21.62738029, -157.7714763 21.59728347, -157.7712784 21.56704925, -157.771085 21.53661752, -157.7708784 21.50602512, -157.7706702 21.4752539, -157.7704271 21.44428781, -157.7701334 21.41317676, -157.7696898 21.38203925, -157.7693151 21.35058858, -157.7682986 21.31973739, -157.7687944 21.28680864, -157.7689177 21.25401654, -157.7686102 21.22145617, -157.7683369 21.18867655)))",940.5190080763106,100.0,9
